Chromosome	Begin	End	Orientation	Symbol
1	17369	17436	minus	MIR6859-1
1	29774	35418	plus	MIR1302-2HG
1	30366	30503	plus	MIR1302-2
1	34611	36081	minus	FAM138A
1	65419	71585	plus	OR4F5
1	95222	107727	plus	LOC124903816
1	120849	175246	minus	LOC124900384
1	134773	140566	minus	LOC729737
1	177308	180105	minus	LOC124903814
1	187891	187958	minus	MIR6859-2
1	262719	297504	minus	LOC127239154
1	273223	284291	plus	LOC124903815
1	350706	358545	minus	LOC124900618
1	365134	382235	minus	LOC112268260
1	450740	451678	minus	OR4F29
1	490756	495445	minus	LOC100132287
1	516376	516479	minus	LOC124904706
1	586287	611297	minus	LOC105378947
1	627380	629009	minus	LOC101928626
1	632615	632685	minus	MIR12136
1	676076	720101	minus	OR4F16
1	725759	778634	minus	LOC100288069
1	778798	810065	plus	LINC01409
1	791598	799081	plus	LOC124903817
1	817371	819834	plus	FAM87B
1	826206	827522	minus	LINC00115
1	827591	859446	plus	LINC01128
1	860182	868202	plus	LOC107984850
1	868071	876802	minus	FAM41C
1	904811	921019	plus	LOC284600
1	916818	919692	minus	LINC02593
1	920243	925604	minus	LOC107985728
1	923923	944574	plus	SAMD11
1	944203	959256	minus	NOC2L
1	960584	965719	plus	KLHL17
1	966482	975865	plus	PLEKHN1
1	975198	982093	minus	PERM1
1	998964	1000097	minus	HES4
1	1013497	1014540	plus	ISG15
1	1020120	1056116	plus	AGRN
1	1059734	1066453	plus	LOC100288175
1	1065635	1069337	minus	LOC105378948
1	1070967	1074306	minus	RNF223
1	1081823	1116089	minus	C1orf159
1	1122903	1128984	minus	LOC124903819
1	1128684	1161940	plus	LOC124903820
1	1137017	1144056	plus	LINC01342
1	1162877	1170338	plus	LOC124903818
1	1167104	1167198	plus	MIR200B
1	1167863	1167952	plus	MIR200A
1	1169005	1169087	plus	MIR429
1	1173056	1179555	minus	TTLL10-AS1
1	1173880	1197936	plus	TTLL10
1	1203508	1206592	minus	TNFRSF18
1	1211340	1214153	minus	TNFRSF4
1	1216931	1232001	minus	SDF4
1	1232237	1235041	plus	B3GALT6
1	1242453	1247280	minus	C1QTNF12
1	1253912	1273854	minus	UBE2J2
1	1274002	1280607	plus	LINC01786
1	1280436	1292025	plus	SCNN1D
1	1292391	1307930	minus	ACAP3
1	1296110	1296170	minus	MIR6726
1	1304729	1304812	minus	SNORD167
1	1308597	1311677	plus	PUSL1
1	1311600	1324660	minus	INTS11
1	1312502	1312566	minus	MIR6727
1	1324802	1328896	plus	CPTP
1	1331280	1335314	plus	TAS1R3
1	1335278	1349418	minus	DVL1
1	1339650	1339708	minus	MIR6808
1	1352689	1363541	minus	MXRA8
1	1373736	1375207	minus	AURKAIP1
1	1385711	1399335	minus	CCNL2
1	1399530	1402046	plus	MRPL20-AS1
1	1401909	1407293	minus	MRPL20
1	1408348	1410684	plus	MRPL20-DT
1	1418420	1421276	minus	ANKRD65
1	1420166	1423287	plus	ANKRD65-AS1
1	1425871	1430255	plus	TMEM88B
1	1430157	1434573	minus	LINC01770
1	1433233	1435549	plus	LOC107985729
1	1435690	1442882	plus	VWA1
1	1449689	1470163	plus	ATAD3C
1	1471765	1509466	plus	ATAD3B
1	1512162	1534685	plus	ATAD3A
1	1534778	1540624	minus	TMEM240
1	1541673	1574863	minus	SSU72
1	1598012	1600135	minus	FNDC10
1	1599433	1607210	plus	LOC105378586
1	1613731	1630605	plus	MIB2
1	1624757	1631786	minus	LOC124903821
1	1632173	1634654	plus	MMP23B
1	1635225	1659004	minus	CDK11B
1	1661478	1692795	minus	SLC35E2B
1	1702379	1724357	minus	CDK11A
1	1745819	1751742	plus	LOC112268218
1	1751232	1780514	minus	NADK
1	1785286	1891087	minus	GNB1
1	1891180	1892726	plus	GNB1-DT
1	1906002	1909126	minus	LOC124903822
1	1915260	1917296	plus	CALML6
1	1917591	1919279	minus	TMEM52
1	1921957	2003786	minus	CFAP74
1	1957368	1959030	plus	LOC107984872
1	2013198	2018088	minus	LOC105378589
1	2019345	2030758	plus	GABRD
1	2035766	2047447	minus	LOC105378590
1	2048504	2185395	plus	PRKCZ
1	2049201	2050070	minus	PRKCZ-DT
1	2181794	2183875	minus	PRKCZ-AS1
1	2184477	2212720	minus	FAAP20
1	2189798	2192458	plus	LOC112268219
1	2207013	2209335	plus	LOC105378593
1	2212391	2220749	plus	LOC124903823
1	2228319	2310213	plus	SKI
1	2314995	2319268	plus	LOC124903824
1	2321253	2391554	minus	MORN1
1	2391841	2405436	plus	RER1
1	2403974	2413827	minus	PEX10
1	2415943	2505532	plus	PLCH2
1	2508537	2526596	minus	PANK4
1	2528745	2530263	minus	HES5
1	2549920	2557011	minus	TNFRSF14-AS1
1	2554234	2563829	plus	TNFRSF14
1	2566535	2584534	plus	LOC100996583
1	2586523	2591468	plus	PRXL2B
1	2590639	2633016	minus	MMEL1
1	2628756	2636620	plus	MMEL1-AS1
1	2636986	2801693	minus	TTC34
1	2701377	2702276	plus	LOC105378602
1	2762488	2763387	plus	LOC105378601
1	2763419	2767518	plus	LOC112268220
1	2764564	2765629	plus	LOC107985732
1	2766073	2766972	plus	LOC105378600
1	2767828	2784745	plus	LOC105378598
1	2771826	2772891	plus	LOC107984904
1	2773495	2774394	plus	LOC105378599
1	2814058	2817767	plus	LOC124903825
1	2814385	2816806	minus	LOC124903826
1	3021467	3022903	plus	ACTRT2
1	3055423	3075562	minus	LOC124903827
1	3059617	3067725	minus	PRDM16-DT
1	3069203	3438621	plus	PRDM16
1	3127975	3128035	plus	MIR4251
1	3161281	3166895	minus	LOC105378606
1	3187558	3195526	plus	LOC107984909
1	3210736	3213745	minus	LOC105378605
1	3266945	3297275	plus	LOC124903828
1	3306653	3323497	minus	LOC105378604
1	3454665	3481113	plus	ARHGEF16
1	3487951	3624786	minus	MEGF6
1	3548480	3550572	plus	LOC105378608
1	3560695	3560790	minus	MIR551A
1	3625015	3630127	plus	TPRG1L
1	3630770	3650103	minus	WRAP73
1	3652516	3736201	plus	TP73
1	3658643	3668945	minus	TP73-AS3
1	3712200	3714298	minus	TP73-AS2
1	3752450	3771645	plus	CCDC27
1	3772749	3775956	plus	SMIM1
1	3778559	3796498	minus	LRRC47
1	3812086	3857211	minus	CEP104
1	3849811	3851719	minus	LOC124903829
1	3857476	3885429	plus	DFFB
1	3889133	3900272	minus	C1orf174
1	3900404	3915447	plus	LINC01134
